8.564899046090357349e-01,1.094430688158171279e+02
1.704198371643513621e+00,3.738402001771907521e+02
2.987688430963028718e+00,1.374279803513250954e+03
3.045851648492185593e+00,1.442398369076105610e+03
4.698206694798628291e+00,4.422008367987067686e+03
5.428202441754128138e+00,6.517366545031823080e+03
6.320478616663959492e+00,9.869682813925101073e+03
7.344435118138498808e+00,1.494476296648879907e+04
8.861729203336176752e+00,2.527594912436059894e+04
9.407934030174109452e+00,2.992101348728511948e+04
1.019086708982346146e+01,3.752160741902390146e+04
1.120330903508953746e+01,4.912790276871468086e+04
1.242034371402152715e+01,6.597447115021014179e+04
1.398021956617723660e+01,9.268395384936915070e+04
1.446289980137162878e+01,1.022096234427228192e+05
1.551308054070247522e+01,1.251435107501676976e+05
1.615678034569209842e+01,1.407666804737627390e+05
1.748965962677803532e+01,1.771431648224053788e+05
1.873108488419943995e+01,2.162145165806313453e+05
1.978999452626442235e+01,2.537632501249642810e+05
